date,model,alpha,pinball_loss
2008-11-10,static_vine,0.01,0.0007825863723492349
2008-11-11,static_vine,0.01,0.00040482354933553166
2008-11-12,static_vine,0.01,0.0003103231150309837
2008-11-13,static_vine,0.01,0.0011232781524760213
2008-11-14,static_vine,0.01,0.0005224936757500901
2008-11-17,static_vine,0.01,0.000639674778444751
2008-11-18,static_vine,0.01,0.0006823953499283798
2008-11-19,static_vine,0.01,0.0003702064852718156
2008-11-20,static_vine,0.01,0.0005030824770830569
2008-11-21,static_vine,0.01,0.0012258953196297303
2008-11-24,static_vine,0.01,0.0009777027523619887
2008-11-25,static_vine,0.01,0.0008001926105432819
2008-11-26,static_vine,0.01,0.0008519088605197223
2008-11-28,static_vine,0.01,0.0005217531129625005
2008-12-01,static_vine,0.01,0.00020137611150407831
2008-12-02,static_vine,0.01,0.0009534050279853579
2008-12-03,static_vine,0.01,0.0006401825685045272
2008-12-04,static_vine,0.01,0.0004193125425759716
2008-12-05,static_vine,0.01,0.0006461252176011596
2008-12-08,static_vine,0.01,0.0009239574472851887
2008-12-09,static_vine,0.01,0.0006382319410159078
2008-12-10,static_vine,0.01,0.0008511754973025657
2008-12-11,static_vine,0.01,0.0005661286882711611
2008-12-12,static_vine,0.01,0.0005746467830779376
2008-12-15,static_vine,0.01,0.0004913397964047961
2008-12-16,static_vine,0.01,0.00078307092030871
2008-12-17,static_vine,0.01,0.0004948836313101332
2008-12-18,static_vine,0.01,0.0003589511165036567
2008-12-19,static_vine,0.01,0.0003479341100063771
2008-12-22,static_vine,0.01,0.000395335804109015
2008-12-23,static_vine,0.01,0.00036035892325817637
2008-12-24,static_vine,0.01,0.0004398635431097285
2008-12-26,static_vine,0.01,0.00042671329807127714
2008-12-29,static_vine,0.01,0.00039246631461296443
2008-12-30,static_vine,0.01,0.00043428215097885277
2008-12-31,static_vine,0.01,0.0003677925400474954
2009-01-02,static_vine,0.01,0.000425490996112287
2009-01-05,static_vine,0.01,0.0002916019162984804
2009-01-06,static_vine,0.01,0.00037494296138184004
2009-01-07,static_vine,0.01,6.507546648019443e-05
2009-01-08,static_vine,0.01,0.00036902647200565727
2009-01-09,static_vine,0.01,0.0001625916150086338
2009-01-12,static_vine,0.01,0.00010603753056295619
2009-01-13,static_vine,0.01,0.00028881810797481966
2009-01-14,static_vine,0.01,0.00011063731138182539
