method,alpha,n_obs,n_breaches,hit_rate,expected_rate,kupiec_stat,kupiec_pval,chris_stat,chris_pval,es_shortfall_ratio,pinball_loss
hs,0.01,4327,53,0.012248671134735382,0.01,2.0623474153263714,0.15097743386456064,17.121392451884162,3.5065114603161085e-05,1.1692781909483343,0.000237738839359154
hs,0.05,4327,220,0.05084354055927895,0.05,0.064476991154379,0.7995548915867833,2.9357017983356855,0.0866410022154227,1.0043531410699436,0.0007033534549560524
ewma,0.01,4327,73,0.016870811185578923,0.01,17.10479502499686,3.537288502564184e-05,10.116108240140647,0.0014697902710896216,1.188151860896485,0.00020971574261366608
ewma,0.05,4327,206,0.04760804252368847,0.05,0.5292631761233224,0.4669168003315316,9.2180861157467,0.002396359231630951,1.1356460177304415,0.0006654717934118724
dcc,0.01,4327,62,0.014328634157614976,0.01,7.221692899227946,0.007202774657064537,9.622915476771482,0.0019216443366499858,1.100995069505461,0.00019389673209865114
dcc,0.05,4327,180,0.041599260457591866,0.05,6.801873827590498,0.00910622521029103,3.679975267097234,0.05506966700935367,1.0850090631945912,0.0006540160301393696
static_vine,0.01,4327,50,0.011555350127108852,0.01,1.0069238992987266,0.315640907018651,2.204919365139631,0.1375710872677608,1.038578226074397,0.00019326587222787342
static_vine,0.05,4327,197,0.04552807950080887,0.05,1.8756106270029704,0.1708338683722228,2.681422414512781,0.1015250084858419,1.0129575677412614,0.0006556880014712164
gas_vine,0.01,4327,50,0.011555350127108852,0.01,1.0069238992987266,0.315640907018651,5.280364595868491,0.0215672312572055,1.0560715663896825,0.00019222264361771176
gas_vine,0.05,4327,226,0.052230182574532005,0.05,0.44683644368365094,0.503841117978262,5.348170855317221,0.020744021706803006,1.0163792249742627,0.0006528704161766611
