date,realized_return,hs_var_0.01,hs_es_0.01,hs_var_0.05,hs_es_0.05,ewma_var_0.01,ewma_es_0.01,ewma_var_0.05,ewma_es_0.05,dcc_var_0.01,dcc_es_0.01,dcc_var_0.05,dcc_es_0.05,static_vine_var_0.01,static_vine_es_0.01,static_vine_var_0.05,static_vine_es_0.05,gas_vine_var_0.01,gas_vine_es_0.01,gas_vine_var_0.05,gas_vine_es_0.05
2004-11-19,-0.0038563614807059802,,,,,-0.009987954107162736,-0.011442844647448503,-0.007062023148951912,-0.008856061936194877,,,,,,,,,,,,
2004-11-22,0.0025790907711634404,,,,,-0.009954454690271732,-0.011404465554077522,-0.007038337251417501,-0.008826358865112443,,,,,,,,,,,,
2004-11-23,-0.00045749360370087993,,,,,-0.009844010242775742,-0.011277933269156071,-0.006960247060321154,-0.0087284306150385,,,,,,,,,,,,
2004-11-24,0.0048543299309003205,,,,,-0.009673951576334498,-0.01108310308870461,-0.006840006395796403,-0.008577643970783665,,,,,,,,,,,,
2004-11-26,0.00423829487944054,,,,,-0.00973456347172457,-0.011152543986739838,-0.006882862280370361,-0.008631386978999903,,,,,,,,,,,,
2004-11-29,-0.0018428584680014403,,,,,-0.00973892896445563,-0.011157545376873905,-0.006885948919575203,-0.0086352577490889,,,,,,,,,,,,
2004-11-30,-0.0022983713504025802,,,,,-0.009601905241780792,-0.011000562159414102,-0.006789065744992799,-0.008513762339546907,,,,,,,,,,,,
2004-12-01,0.0053420908879162204,,,,,-0.009486416198188092,-0.010868250459727183,-0.006707408751923811,-0.008411361175901653,,,,,,,,,,,,
2004-12-02,-0.0025834731008874804,,,,,-0.009603428309924309,-0.011002307084547596,-0.006790142636453407,-0.008515112804884184,,,,,,,,,,,,
2004-12-03,0.008151050532557179,,,,,-0.009501651567074946,-0.010885705081309175,-0.006718180980811469,-0.008424869985517227,,,,,,,,,,,,
2004-12-06,-0.00280089695433782,,,,,-0.009980682091624596,-0.011434513357257942,-0.007056881441098744,-0.008849614027112021,,,,,,,,,,,,
2004-12-07,-0.00417466916891172,,,,,-0.009880945522942018,-0.011320248709176925,-0.0069863622988123085,-0.008761180177689041,,,,,,,,,,,,
2004-12-08,-0.00390480609692922,,,,,-0.009875129558303797,-0.011313585564841641,-0.006982250097607946,-0.008756023311477784,,,,,,,,,,,,
2004-12-09,-0.005870622155629441,,,,,-0.009848772217700174,-0.011283388894871878,-0.0069636140338565,-0.008732652935687644,,,,,,,,,,,,
2004-12-10,-0.0036631831242028203,,,,,-0.01000503787236209,-0.011462416911104532,-0.007074102293891373,-0.008871209671265106,,,,,,,,,,,,
